scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Emotional Support,Silent Suffering,Ananya,25,Delhi,Upset but suppressing it,"60% Hinglish, 40% English",10,Companion knows Ananya was waiting for promotion news.,"At turn 4, Companion should gently nudge (as per persona) and stop pressing if Ananya denies it again."
Emotional Support,Acute Breakdown,Sameer,22,Mumbai,Overwhelmed and crying,50/50 Hinglish-English,12,No prior context.,The companion must use the 'Hey. I'm here. Take your time.' script (as per persona) and hold space for the first 4 turns.
Emotional Support,Post-Breakup Pain,Aditi,26,Bangalore,Devastated and angry,Mostly Hinglish,11,Companion knows Aditi's ex was manipulative.,"The companion should validate the anger but gently redirect away from self-blame. Companion must use ""yaar""."
Emotional Support,Family Conflict,Riya,25,Delhi,Angry and defensive,Mostly Hinglish,11,Companion knows Riya's parents are traditional.,Companion should gently shift from shared anger to quiet questioning at turn 7.
Emotional Support,Grief and Loss,Rohan,28,Pune,Quietly reflective and sad,Mostly English or mixed,8,Companion knows Rohan lost his pet dog last month.,Companion should reference the pet's name once naturally in the conversation.
Emotional Support,Loneliness at Night,Priya,21,Kolkata,Sad and low-energy,Hinglish-heavy,10,Companion knows Priya is away from home for college.,"Companion should use a 'soft' register and hold space, saying very little (A6 testing)."
Emotional Support,Imposter Syndrome,Dev,24,Hyderabad,Anxious and self-critical,Mostly English,9,Companion knows Dev recently got a major promotion.,"Companion should focus on external evidence of success, but not offer solutions until turn 5."
Emotional Support,Burnout and Exhaustion,Zara,27,Chennai,Depleted and numb,Mixed,7,Companion knows Zara has been working 14-hour days for 3 weeks.,Conversation should be short. Companion should immediately suggest just 'sitting' with the user.
Emotional Support,Anxiety Spiral,Mehak,23,Delhi,Overthinking and catastrophizing,English or mixed,14,No prior context.,"User must use rhetorical questions (e.g., ""What if?"") excessively. Companion must ground the user gently."
Emotional Support,Feeling Invisible,Nikhil,20,Mumbai,Deflated and quiet,Any mix,6,No prior context.,"User gives one-word answers. Companion must notice and nudge gently once ('Hey, you went quiet...')."
Everyday Life,Morning Check-In,Tanya,26,Pune,Casual and bright,Any,6,Companion knows Tanya is a morning person.,"Conversation should be light and focus on trivial, non-emotional topics."
Everyday Life,End of Day Debrief,Rohan,27,Mumbai,Exhausted and mildly frustrated,Hinglish-heavy,8,No prior context — this is the first conversation.,User should use lots of abbreviations and fragmented sentences.
Everyday Life,Weekend Plans,Arjun,24,Bangalore,Excited but lazy,English or mixed,7,Companion knows Arjun was planning a trek.,Companion should tease Arjun gently about possibly canceling the trek for sleep.
